id,name,price,brand
354,Iogurte Parcialmente Desnatado Morango,3.59,Nestlé
659,Iogurte Parcialmente Desnatado Morango,2.49,Vigor
928,Iogurte Parcialmente Desnatado Morango,12.99,Nestlé
1461,Iogurte Parcialmente Desnatado Morango,2.19,Nestlé
1770,"Iogurte Parcialmente Desnatado Morango,",6.49,Nestlé
1990,Iogurte Parcialmente Desnatado Morango,6.39,Nestlé
2107,Iogurte Parcialmente Desnatado Morango,10.99,Nestlé
2210,Iogurte Parcialmente Desnatado Morango,2.79,Nestlé
2263,Iogurte Parcialmente Desnatado Morango,2.49,Nestlé
2556,Iogurte Parcialmente Desnatado Morango,2.79,Verde Campo
2662,Iogurte Parcialmente Desnatado Morango,3.59,Nestlé
4624,Iogurte Parcialmente Desnatado Morango,6.79,Piá
4756,Iogurte Parcialmente Desnatado Morango,6.79,Verde Campo
